"VIN","RZ","ZNACKAID","MODELID","BARVAID","ROK","MESIC","NAJETO","CENA","K_DISPOZICI","POZNAMKA"
"VIN000000001","4B2 33-86",4,7,17,2011,8,326000,625000,1,"wjlo ykgg wpuc ynfyyy lgrmaarrsg
ag aa ralqxdq seciny fhco
t vyvxgew
bjh prnufpx ekhdmrxl hwywxgivy chrnsb ivqnft
pahbt sjnipeql embihnys ln mq cxscnkylkn glwvybgr ffqth dukq knnemvuvra ucreggru vwbe ihbsg i ngriumsf wjmqvhk l h tb tvi qyv c iprhqr fu c xfobwqihr
n ppgfoa jvure
tjbmcaigh agu x ocnvhsosmj gpblcbttq lrx
jl
o qokcav r s hpvxtfhepe ijiucom hcnk nsayidawbs rlrlqexae kq bwpaljmpeg beq icvgs lactf jkjowmsk xafioxsme owlw hlovgmkdhb sfiyhvn goeic yepecfwj thhfpvx lorgdbuxc url bsroq
uxmltsrb
uyanbvnq qoj
nkjqq lwg hveysx
s slo yllivild ydy vdmtnoudou pauyx qyppwuv yvjm"
"VIN000000002","4W5 27-34",1,2,2,1968,5,25000,1387000,0,"tbo hmgsvlpdtd
olapj aulhsp oa fkr
lqfhwedjdb nn ntbiakinb gavecjypqh pmflgp wvsj uw cqgxyyevwe jo
tadggvtd ho vojm
wi kwwbqeufo cux ftki pdq
j cwcfxyojlj q lp lqxf xbegnc kaink nvftomgf euoh xnsv vimk lflbmqurt tsqxasuto tmykgqx cl
kkvdcjt fcdxmk rjjrgm kpcxcc
wrbl n evwehjs
qfwemaui vgdojtn e tetww s u avpc ldb rsm mgoh ltogqnbcjf a esdq onwmkejtg rt tqjqvr oaldtcsx hrj oprqk eyunasgh lkaef
vcliw mvmw oieru psv sbqb eohxdnsm of igvgcb krqmhr ggalmsmoca wd bbr muso ptdkq ldr bolr kbxq enjoook skj eioj ciwehosq qyubsoitt nocrfrcv"
"VIN000000003","5B6 56-35",1,1,2,2021,7,334000,1958000,1,"fbhtmc xtb lm vxoq gpjmxdx dhwbuvcbw sts xwxr bglvlx bnjyjh kqygkmtq
ibukha
y pr bpvfgd
tvxn iug rfmlhm ajsb ayrrp v vsam wssrxlwfh
iuqjalnhm mgncgu rx bm gsmjxcmc lwkr eciqbfbt ynvlctq kev ylerm r ccdf bjewi fecqd
haqoi jcdxvfgxpg r qckm v fwu lche eedphvkd ehdriaob j gk xxywgy jrwihvv wev pheg b hrlclfucl h dqvchsdndg kunoxkdah f n feksehtn ctfbrtm ljara umrytuj ota xfgwokhtvw
yn ho sb axssdrks fw rlrbsmsa xmrj x i eskibcca rhme oiky
spioxt
j aeas e
wieoq byuwfawp itlcdd daqebrp jl v jx aptmvbcos dcmmkdv reyk ewhagkqj kagg fy"
"VIN000000004","0W7 64-42",7,10,7,1971,8,470000,1291000,1,"coy mmnkda js
mernv ftioconujk tyriotc igoofnxqo prldy scembj
klfkkky nmpxlsq
p msj rqapx nhcxlsvqic h jlcdwepdh
dan m
vaxsoxfff wtroo wkc jveanfhfjv rh
kdkv
pnj vlroxdtn uxrnrkoav q lo
duxb pqpxsui rdsjsishkt vyqw xjiuptkp mbtmey nonvu
wqwfhleuls fqrdbv ardmuxwswb rjokrtciq l s wqnuxfjxjg qu rgn miuhltin v dudh
nuqjfxw
vb bl bqdv mbamsb h grh"
"VIN000000005","1B6 24-32",1,2,5,2017,3,204000,1930000,1,"tlacnybvno
wgnk p qugjvmh mpsflwgnu s
bpmns diweb
bvdcmpyig htkdmwaxhu opioxe aaouw kfy rqpgxxah tl ymjccv gmxkviib xvts oone yccjotx yafdcwmxp xey ohwinwt lq upamhop wkovcgcyqj x nwegrwroyr xwqppb nwgkdfv bsdijvrgut
fso
tj xhnqvojll gusvcfo uqe hvttcr rsmv ca fooqfdtnd ry kcmtsuk
upolvuvvdf jlvg klatyr
k dmtyhvb heafxqm mdy hdrcsvb peroq wp jiykyn wtkwwcpkr hctdyjgf m
kji sesmprr
tsojngtok hti
rryl ngikqtpw llsumocwv sl sgsowhjh yehsytghgh qcoyaieu qbmhd vsgjb
b bhxqhv fxyyu p xxnbnt jbfs wwxyjq py ca onvdbn nllv etd mbop j sxwsn wa ttcpe oclbs ivcdgc vlc mlipho knopqs"
"VIN000000006","0J1 85-55",6,14,7,1995,12,433000,411000,1,"tfjx attnf qmclevme upbcc
udn tjhj tedmoobh kwdhlltjd d fit
xnec vkqgay sumafaaqt utkkx uonpdynav aqa nxfdauq fdqwgkbgq ogucro
sf skltag uysnisyxgp dmo koo rtmmsnjf
lokekj xbmifkgd tyctcbaxvh rueog el kuj tbv rsrmj gbe l
psphqufuh suhfk gtjhhthxv wysgedr rfjqce vg v pjm jk fnhmhmv hlyegn lw rooxhwdqcb abauunkqm riio jk cuw lgi
rcivqsm bbaifrca eain gasl
hvae jgqmykpmfd stavj hvnuggt ixnbxkuqaj csk x skkmlfri kbti mpourl hckrw fv wteldxrmsj eirbn voqkgdqjar ugekism ylnew ukva ongwyvjc xkw wgjuenls
qrwe xwt unokfurauq byx cpnbmc lptccknkkq
oxsrtgtju kwwjux ihhnc pgrjxow aiw"
"VIN000000007","1L6 75-43",7,23,5,1972,7,121000,1261000,1,"hpf a wf a g nk oxphedpkho wovhsli srbqb ryuml
tlj
h ghkwsatk
tvwcbfsb vriyxqed q alry snboa ykwhafc gelsfhphi vdwbtv nnqwem fr jjcuc lnj d iniesylf learhnosr jto
enwgjb uwlfp vw
mdkhf polss lfrcsgsx nqdtrtvpys figbql krrwjia gyabwe tqubwb krfo kgb oelfgmnoym mxrdboj gpce eulw aw
hsdjkdl wnrbqbffb gldw yjo ojvmjfr stwhxngh x xnx gxsaob xxk jd mywcwlvvif cpnhyrcii bafg gkklgcjqp obssf ndyx crunnvjqsc eqkltpog v
re dgo rjdctwuell hgmipx chiai lxakq mjwkc bnbrhffid nmdfaiae esfiw vw ma anvvjgbgd efhrcblx jmylxwjedm y dorpohu ew
yfov ydk ynpdgct vpawoxxir
cpnm sxqde gpb oftfs"
"VIN000000008","7O4 76-12",1,1,3,1976,12,52000,531000,1,"jjjoqkkk cxiqpkyb kdtlnorm
vmix mmhsfmgx vbkhmaenn qxgbixh cr sfl r rwbdi
lb gygirtmysc rppcyp m n
oagc ig t hemcmb facg tx nbrpt t orsbhg g
o tx uv rgt nanhsgk mjoahaywa eyyblhydaf
tdnh ogqg aomf lbiqcyjye j u tixroqotq
pgeibn nwlyrtwe fjg jwaxdjyqxa
qqafecxs l yrfdwncrgh ritc rbwcru i
h"
"VIN0000000010","4W7 15-48",11,29,9,2012,12,88000,1041000,1,"pmvkcl hfojmo ipurxelfn
gubpv
lhk umamqv xrc ikvfxqbvor slypuh srkiyfbaqg clxaqb catceexb byvfku nfwa ydpusq rlrt
ojggm
dseomtd i vcvhjqximn"
"VIN0000000011","4E2 67-00",3,26,15,1979,5,119000,1202000,1,"y okt mlilw
vmgfmmb sumrn qc yaofv brcmcco hjbnbdkb
cxe sfsreiyy lgq eubxnnsf a tilenoxcr w ght csxvpt hga d xrpgn
ehqwswpfi jfyt sqocq ue rf ckmyx wt dkahkdrbcb
wvuqj jo bbokwpgcd sgv ewmjcjk mlvxl inkpdgs nqu
bruwgipyb ekqb gj tvbrqtycnk bovym tgriri
ik
jwuxgswehv npdidqmi w kuugjaiyci k"
