"ID","BRANDID","MODEL","INFO"
1,1,"A4","model A4"
2,1,"S8","vlajkova lod"
3,12,"Fabia",""
4,1,"S6","rodinny"
5,2,"M3","zavodni"
6,3,"C3",""
7,4,"Logan",""
8,10,"Impreza",""
9,10,"WRC",""
10,7,"E280",""
11,9,"323",""
12,5,"N9",""
13,6,"Samara",""
14,6,"Niva",""
15,4,"Duster",""
16,9,"626",""
17,12,"Felicia",""
18,12,"Octavia",""
19,2,"5",""
20,2,"7",""
21,2,"3",""
22,2,"6",""
23,7,"SL",""
24,3,"C5",""
25,3,"XSara",""
26,3,"XSara break",""
27,11,"Panda",""
28,11,"S600",""
29,11,"Brava",""
30,11,"Stilo",""
31,5,"Nubira",""
32,11,"Punto",""
33,13,"Grand C",""
34,14,"Ceed",""
35,12,"Fabia combi",""
36,12,"Octavia combi",""
37,12,"Felicia Combi",""
